sentence,sentiment
It was an average day.,neutral
"No highs, no lows..",neutral
Just trying to get through the day.,neutral
I followed my usual routine..,neutral
There’s not much to say about today.,neutral
I did my routine tasks as usual.,neutral
No big thoughts or emotions today..,neutral
No big thoughts or emotions today.,neutral
I went through the motions today..,neutral
My day was okay.,neutral
Today passed without much emotion..,neutral
"I did what I had to do, nothing more..",neutral
I went to work and came home.,neutral
There were no surprises..,neutral
I stayed indoors all day.,neutral
Today passed without much emotion.,neutral
I went to work and came home..,neutral
Just trying to get through the day.,neutral
"No highs, no lows.",neutral
It was neither exciting nor boring.,neutral
There’s not much to say about today.,neutral
It was an average day.,neutral
"I did what I had to do, nothing more..",neutral
I did my routine tasks as usual..,neutral
It was an average day..,neutral
I'm not feeling much of anything..,neutral
There were no surprises.,neutral
I'm not feeling much of anything.,neutral
Today passed without much emotion..,neutral
I followed my usual routine..,neutral
It was an average day.,neutral
Today passed without much emotion..,neutral
"I did what I had to do, nothing more.",neutral
I'm not feeling much of anything..,neutral
Nothing much happened today.,neutral
I'm not feeling much of anything..,neutral
Everything is neutral today.,neutral
"I did what I had to do, nothing more.",neutral
Just went with the flow..,neutral
I’m feeling indifferent..,neutral
"It was a calm, quiet day..",neutral
I'm not feeling much of anything.,neutral
I kept myself busy..,neutral
"I did what I had to do, nothing more..",neutral
"No highs, no lows..",neutral
I didn’t feel anything special..,neutral
I stayed indoors all day.,neutral
It was an average day..,neutral
I just existed today.,neutral
There were no surprises.,neutral
"It was a calm, quiet day.",neutral
I just existed today.,neutral
I'm not feeling much of anything..,neutral
Just trying to get through the day..,neutral
I stayed indoors all day..,neutral
"It was a calm, quiet day.",neutral
I didn’t feel anything special.,neutral
I went to work and came home.,neutral
I went through the motions today.,neutral
I went through the motions today.,neutral
No big thoughts or emotions today.,neutral
I just existed today.,neutral
My day was okay..,neutral
My mood is steady..,neutral
I didn’t feel anything special..,neutral
Just trying to get through the day..,neutral
"No highs, no lows..",neutral
I kept myself busy.,neutral
"No highs, no lows..",neutral
I’m feeling indifferent..,neutral
My mood is steady.,neutral
Nothing much happened today..,neutral
I had lunch and watched some TV..,neutral
Just went with the flow..,neutral
I went through the motions today..,neutral
I feel blank today..,neutral
Nothing much happened today.,neutral
I feel blank today..,neutral
I went to work and came home..,neutral
Nothing much happened today.,neutral
Everything is neutral today.,neutral
There were no surprises..,neutral
It was an average day..,neutral
It was an average day..,neutral
Just another regular day..,neutral
Just another regular day.,neutral
My mood is steady.,neutral
I had lunch and watched some TV.,neutral
No big thoughts or emotions today..,neutral
I just existed today..,neutral
My mood is steady..,neutral
Just another regular day.,neutral
I did my routine tasks as usual..,neutral
My mood is steady..,neutral
I didn’t feel anything special.,neutral
Today passed without much emotion..,neutral
I went to work and came home.,neutral
"It was a calm, quiet day.",neutral
Nothing much happened today.,neutral
"I feel okay, not good or bad.",neutral
I did my routine tasks as usual..,neutral
It was an average day..,neutral
Just went with the flow..,neutral
"I feel okay, not good or bad.",neutral
I kept myself busy.,neutral
"It was a calm, quiet day..",neutral
I kept myself busy..,neutral
I stayed indoors all day..,neutral
There’s not much to say about today.,neutral
Everything is neutral today..,neutral
It was neither exciting nor boring..,neutral
It was neither exciting nor boring..,neutral
Just another regular day..,neutral
Just trying to get through the day.,neutral
My day was okay.,neutral
No big thoughts or emotions today..,neutral
"It was a calm, quiet day..",neutral
I kept myself busy..,neutral
"Not happy, not sad, just fine..",neutral
I didn’t feel anything special..,neutral
Today passed without much emotion.,neutral
Everything is neutral today.,neutral
"No highs, no lows.",neutral
Just another regular day..,neutral
"I feel okay, not good or bad..",neutral
There were no surprises.,neutral
"It was a calm, quiet day..",neutral
"I feel okay, not good or bad..",neutral
I stayed indoors all day.,neutral
Everything is neutral today.,neutral
I stayed indoors all day..,neutral
I kept myself busy..,neutral
Today passed without much emotion..,neutral
Everything is neutral today..,neutral
I went to work and came home..,neutral
Everything is neutral today.,neutral
"No highs, no lows.",neutral
"No highs, no lows.",neutral
"I did what I had to do, nothing more.",neutral
"Not happy, not sad, just fine..",neutral
"I did what I had to do, nothing more..",neutral
I went through the motions today..,neutral
Today passed without much emotion..,neutral
Just trying to get through the day..,neutral
I'm not feeling much of anything.,neutral
Nothing much happened today.,neutral
I stayed indoors all day.,neutral
My mood is steady..,neutral
I kept myself busy.,neutral
I'm not feeling much of anything..,neutral
I just existed today.,neutral
It was an average day..,neutral
My mood is steady..,neutral
I'm not feeling much of anything..,neutral
"It was a calm, quiet day..",neutral
"I feel okay, not good or bad..",neutral
I kept myself busy..,neutral
Just another regular day..,neutral
I stayed indoors all day.,neutral
My mood is steady..,neutral
Just trying to get through the day..,neutral
I'm not feeling much of anything..,neutral
I did my routine tasks as usual..,neutral
I stayed indoors all day.,neutral
It was neither exciting nor boring.,neutral
There were no surprises.,neutral
"Not happy, not sad, just fine..",neutral
I just existed today.,neutral
I kept myself busy.,neutral
Just trying to get through the day..,neutral
I just existed today..,neutral
My mood is steady..,neutral
It was a slow day..,neutral
I’m feeling indifferent.,neutral
My mood is steady.,neutral
Just trying to get through the day.,neutral
I did my routine tasks as usual..,neutral
I didn’t feel anything special..,neutral
I kept myself busy.,neutral
"I feel okay, not good or bad..",neutral
I'm not feeling much of anything..,neutral
I went through the motions today.,neutral
I didn’t feel anything special.,neutral
"I feel okay, not good or bad.",neutral
I had lunch and watched some TV.,neutral
I followed my usual routine..,neutral
I kept myself busy..,neutral
No big thoughts or emotions today.,neutral
It was a slow day..,neutral
Today passed without much emotion.,neutral
No big thoughts or emotions today..,neutral
"I feel okay, not good or bad.",neutral
It was neither exciting nor boring.,neutral
"Not happy, not sad, just fine.",neutral
"I feel okay, not good or bad..",neutral
I stayed indoors all day.,neutral
"I feel okay, not good or bad.",neutral
I feel blank today..,neutral
Nothing much happened today.,neutral
No big thoughts or emotions today..,neutral
"It was a calm, quiet day.",neutral
I stayed indoors all day.,neutral
My day was okay..,neutral
I kept myself busy..,neutral
No big thoughts or emotions today..,neutral
Nothing much happened today..,neutral
I'm not feeling much of anything.,neutral
"No highs, no lows..",neutral
I had lunch and watched some TV..,neutral
I stayed indoors all day.,neutral
"Not happy, not sad, just fine.",neutral
My day was okay..,neutral
I went to work and came home.,neutral
I went through the motions today.,neutral
I did my routine tasks as usual..,neutral
Today passed without much emotion.,neutral
Nothing much happened today..,neutral
Just trying to get through the day..,neutral
I went through the motions today..,neutral
"It was a calm, quiet day.",neutral
Everything is neutral today.,neutral
My day was okay.,neutral
"It was a calm, quiet day..",neutral
I feel blank today.,neutral
It was a slow day..,neutral
I did my routine tasks as usual.,neutral
I'm not feeling much of anything.,neutral
Nothing much happened today.,neutral
It was a slow day.,neutral
There were no surprises.,neutral
There’s not much to say about today.,neutral
Everything is neutral today.,neutral
I didn’t feel anything special.,neutral
No big thoughts or emotions today.,neutral
Just trying to get through the day..,neutral
"I feel okay, not good or bad..",neutral
Just went with the flow..,neutral
I kept myself busy.,neutral
Just trying to get through the day..,neutral
I just existed today.,neutral
There were no surprises..,neutral
It was a slow day..,neutral
I feel blank today..,neutral
Everything is neutral today.,neutral
I kept myself busy..,neutral
Just another regular day..,neutral
I kept myself busy.,neutral
I feel blank today..,neutral
I went to work and came home..,neutral
"I did what I had to do, nothing more..",neutral
"Not happy, not sad, just fine.",neutral
My mood is steady..,neutral
There’s not much to say about today..,neutral
I feel blank today..,neutral
Today passed without much emotion.,neutral
I had lunch and watched some TV.,neutral
It was neither exciting nor boring.,neutral
Nothing much happened today.,neutral
"Not happy, not sad, just fine..",neutral
My mood is steady..,neutral
No big thoughts or emotions today..,neutral
Nothing much happened today.,neutral
Today passed without much emotion.,neutral
My day was okay.,neutral
It was a slow day.,neutral
Just another regular day..,neutral
"I did what I had to do, nothing more..",neutral
Nothing much happened today..,neutral
There were no surprises..,neutral
I went to work and came home.,neutral
I went to work and came home.,neutral
I stayed indoors all day.,neutral
No big thoughts or emotions today.,neutral
"It was a calm, quiet day..",neutral
I had lunch and watched some TV.,neutral
I followed my usual routine.,neutral
"No highs, no lows.",neutral
There’s not much to say about today.,neutral
I went to work and came home.,neutral
I just existed today..,neutral
"I did what I had to do, nothing more.",neutral
I did my routine tasks as usual.,neutral
I did my routine tasks as usual.,neutral
I stayed indoors all day.,neutral
"No highs, no lows.",neutral
No big thoughts or emotions today..,neutral
There’s not much to say about today.,neutral
My day was okay..,neutral
Just trying to get through the day.,neutral
I stayed indoors all day.,neutral
Just another regular day.,neutral
Nothing much happened today.,neutral
I didn’t feel anything special.,neutral
I went to work and came home.,neutral
Today passed without much emotion..,neutral
Just another regular day..,neutral
I did my routine tasks as usual..,neutral
I went through the motions today.,neutral
I followed my usual routine..,neutral
I feel blank today.,neutral
I kept myself busy.,neutral
No big thoughts or emotions today.,neutral
I'm not feeling much of anything.,neutral
There were no surprises..,neutral
I didn’t feel anything special..,neutral
It was neither exciting nor boring.,neutral
"Not happy, not sad, just fine..",neutral
Just another regular day..,neutral
Everything is neutral today..,neutral
There were no surprises.,neutral
My mood is steady..,neutral
I feel blank today.,neutral
"Not happy, not sad, just fine.",neutral
It was an average day..,neutral
"No highs, no lows.",neutral
I’m feeling indifferent..,neutral
It was a slow day..,neutral
Just went with the flow.,neutral
I'm not feeling much of anything.,neutral
I just existed today..,neutral
My day was okay..,neutral
My day was okay.,neutral
My day was okay.,neutral
"I did what I had to do, nothing more.",neutral
Just went with the flow.,neutral
"Not happy, not sad, just fine..",neutral
